,QCode,Title,link,level,statement,Author,Tester,Editorial,Tags,Date Added,Time Limit,Source Limit,Languages
562,RECTLOVE,Rectangles of Love,/problems/RECTLOVE,easy,"
All submissions for this problem are available. Read problems statements in Mandarin Chinese, Russian and Vietnamese as well.
Today is the planned day tor Thik and Ayvak's wedding. Kark is infatuated with Ayvak. He offers to play a game with Thik. Whosoever wins, will get to marry Ayvak. Ayvak, who values games of chance over all the other things in life, agrees to this.


Kark sets up an N by M grid (N rows, M columns), labelled from left to right and top to bottom consecutively with numbers from 1 to M*N, with 1 at the top left corner and M*N at the bottom right corner. For example, a labelled 3 by 6 grid looks as follows:



Kark has already painted K unit squares of the grid with a heart each. Next, Thik randomly picks a rectangle with sides on the grid lines, and having a positive area, with each valid rectangle having an equal probability of being chosen. Three distinct possibilities for Thik's rectangle in the 3 by 6 grid are shown below: 




The nine different rectangles in a 2 by 2 grid are shown below:





If Thik's rectangle contains at least half of the hearts, Thik gets to marry Ayvak. Otherwise, Kark will marry Ayvak. Kark wants to know whether or not he has an advantage here, so he wants to know the expected value of the number of hearts a randomly chosen rectangle will cover. I'm sure that you have a good heart, so please, cover this job for him. 

Input
The first line of input contains one integer T, the number of test cases.
For each test case, the first line contains 3 space-separated integers N, M, K, as described in the problem statement. The next line contains K space-separated integers, each a single number from 1 to M*N, representing a square that is painted with a heart. It is guaranteed that all K integers are distinct.
Output
Output T lines, each containing a single real number, containing the expected number of hearts that a randomly chosen rectangle will contain. The answer will be considered correct if its relative or absolute error does not exceed 10-6.

Constraints
1 ≤ T ≤ 5  
1 ≤ N, M ≤ 107  
1 ≤ K ≤ 105 
Each of the K integers representing a heart are between 1 and N*M, inclusive. All K integers are distinct. 
Subtasks
Subtask 1 (15 points) : 

1 ≤ N, M ≤ 10
1 ≤ K ≤ N * M 

Subtask 2 (85 points) : no additional constraints 


Example
Input:
1
2 2 2
1 2

Output:
0.8888888888888888

Explanation
There are a total of 9 possible rectangles Thik could draw, shown in the figure above, and grid squares 1 and 2 are painted with a heart. The top row of possible selections (shown in the figure) contain 1, 0, 1, 2, and 2 hearts (from left to right), and the bottom row of possible selections (in the figure) contain 1, 0, 1, and 0 hearts. Therefore, 3/9 of the time 0 hearts are contained in the rectangle, 4/9 of the times 1 heart is contained in the rectangle, and 2/9 of the time 2 hearts are contained in the rectangle. The expected value is then 0 * 3/9 + 1 * 4/9 + 2 * 2/9 = 8/9. ",minimario,,http://discuss.codechef.com/problems/RECTLOVE,"['feb16', 'expectation', 'minimario']",            30-08-2015</td>        <,            1 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYPY, PYTH, PYTH 3.4, RUBY, SCALA, SCM chicken, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
587,CHITHH,Chef and Science,/problems/CHITHH,medium,"
All submissions for this problem are available. 
Chef studied science at school. But now he was tired of it. He likes to solve problems on Codechef. Here and now, he decided to go to his favourite site and solve several interesting problems. But as it turned out Chef is not yet ready to solve the harder problems. So you have to help him.

If you take away all the foreword, then the task set is this: you have N non-negative numbers A1, A2 ... AN and M requests. Each request consists of three numbers (l, v, k). MagicInteger(l,v) is equal to concatenation of the numbers Ai, such that (i = l + v * q & 1 <= i <= n & q >= 0). For each such request you have to write the k-th digit of MagicInteger(l,v).


Concatanation example:
If you have 2 numbers 11, 22 - after concatenation you will have 1122.
If you have 3 number 13, 44, 12 - after concatenation you will have 134412.
One more example: 0, 3, 11, 0 - after concatenation you will have 03110. First digit of this string is 0, not 3.

 
Input
The first line contains an integer N denoting the number of integers in the given array. The second line contains N space-separated integers A1, A2, ..., AN denoting the given array. The third line has a single integer M denoting the number of requests. The next M lines contains three space separated numbers in each line (l, v, k) denoting each request. 
Output
For each request output a single line containing k-th digit of MagicInteger(l, v). If the length of MagicInteger(l,v) is smaller than k, you need to output ""So sad"" without quotes.
Constraints

1 ≤ N ≤ 105
1 ≤ M ≤ 105
0 ≤ Ai ≤ 109
1 ≤ l, v ≤ 105
1 ≤ k ≤ 106

 
Example
Input:
4
0 1 2 3
5
1 1 2
1 2 2
1 2 1
2 2 3
4 100000 1

Output:
1
2
0
So sad
3
 
Scoring
Subtask 1 (30 points): N ≤ 1000
Subtask 2 (25 points): V ≤ 100
Subtask 3 (45 points):  Look at constraints  ",furko,,http://discuss.codechef.com/problems/CHITHH,"['binary-search', 'furko', 'medium', 'preprocessing', 'ltime04']",            15-09-2013</td>        <,            1 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYTH, PYTH 3.4, RUBY, SCALA, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
658,HELLO,Hello Hello,/problems/HELLO,easy,"
All submissions for this problem are available.Chef talks a lot on his mobile phone. As a result he exhausts his talk-value (in Rokdas) very quickly. One day at a mobile recharge shop, he noticed that his service provider gives add-on plans which can lower his calling rates (Rokdas/minute). One of the plans said ""Recharge for 28 Rokdas and enjoy call rates of 0.50 Rokdas/min for one month"". Chef was very pleased. His normal calling rate is 1 Rokda/min. And he talked for 200 minutes in last month, which costed him 200 Rokdas. If he had this plan activated, it would have costed him: 28 + 0.5*200 = 128 Rokdas only! Chef could have saved 72 Rokdas. But if he pays for this add-on and talks for very little in the coming month, he may end up saving nothing or even wasting money. Now, Chef is a simple guy and he doesn't worry much about future. He decides to choose the plan based upon his last month’s usage.
There are numerous plans. Some for 1 month, some for 15 months. Some reduce call rate to 0.75 Rokdas/min, some reduce it to 0.60 Rokdas/min. And of course each of them differ in their activation costs. Note - If a plan is valid for M months, then we must pay for (re)activation after every M months (once in M months). Naturally, Chef is confused, and you (as always) are given the task to help him choose the best plan.
Input
First line contains T- the number of test cases. In each test case, first line contains D- the default rate (Rokdas/minute, real number), U- the number of minutes Chef talked in last month and N- the number of add-on plans available. Then N lines follow, each containing M- the number of months the plan is valid for, R- the calling rate for the plan (Rokdas/minute, real number) and C- the cost of the plan.
Output
For each test case, output one integer- the number of the best plan (from 1 to N). Output '0' if no plan is advantageous for Chef. No two plans are equally advantageous.
Constraints
1 ≤ T ≤ 1000.5 ≤ D ≤ 10.0 (exactly 2 digits after the decimal point)1 ≤ U ≤ 100001 ≤ N ≤ 1001 ≤ M ≤ 360.05 ≤ R < D (exactly 2 digits after the decimal point)1 ≤ C ≤ 1000
Example

Input:
4
1.00 200 1
1 0.50 28
1.00 200 2
1 0.75 40
3 0.60 100
1.00 50 2
1 0.75 40
3 0.60 100
1.00 100 2
3 0.50 10
2 0.10 20

Output:
1
2
0
2
Explanation
Test Case 1: This test case is same as the example in the problem statement.Test Case 2: This is for you to work out!Test Case 3: Chef's monthly usage is only 50 Rokdas and none of the 2 plans are advantageous, hence the answer is zero '0'.Test Case 4: Again solve it yourself, but NOTE - if Chef had chosen plan 1, he would have to pay 10 Rokdas (Activation cost), after every 3 months and NOT every month. Similarly had he chosen plan 2, he would have to pay 20 Rokdas (Activation cost), after every 2 months. ",vinayak garg,,http://discuss.codechef.com/problems/HELLO,"['simple-math', 'garg', 'aug13', 'simple', 'vinayak']",            29-01-2013</td>        <,            1 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYTH, PYTH 3.4, RUBY, SCALA, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
690,GERALD3,Chef and Substrings,/problems/GERALD3,medium,"
All submissions for this problem are available. Read problems statements in Mandarin Chinese here
 Read problems statements in Russian here
Problem Statement
Chef has a string S = S1S2 ... SN, consisting of N lowercase Latin letters. Also he has M pairs of integers Li, Ri (1 ≤ Li ≤ Ri ≤ N).For each pair Li, Ri, Chef writes out all distinct substrings of string S, which are started from positions Li, Li + 1, ..., Ri.Your task is to help Chef. That is, for each pair, find out how many substrings that he needs to write.
Input
The first line of the input contains an integer T denoting the number of test cases. The description of T test cases follows.The first line of each test case contains non-empty string S and the second line contains positive integer M.
Each of the next M lines contains a pair of integers Li, Ri.

Output
For each pair of each test case print the required number of substrings.
Constraints

String S contains only lowercase Latin letters.
1 ≤ Li ≤ Ri ≤ N.
Sum of all length's of S for test cases is not greater than 50000. Sum of all M values for test cases is not greater than 50000.

Example
Input:
2
ababa
4
1 1
1 5
5 5
3 4
a
1
1 1
Output:
5
9
1
5
1
 ",gerald,rustinpiece,http://discuss.codechef.com/problems/GERALD3,['gerald'],            8-11-2013</td>        <,            7 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYTH, PYTH 3.4, RUBY, SCALA, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
709,SPOTWO,Superpowers of 2,/problems/SPOTWO,easy,"
All submissions for this problem are available. Read problems statements in  Mandarin Chinese  and  Russian.
Cyael is a very gifted girl who loves Magic (she even reached the finals on a very famous tournament in Byteland ;) ) and Computer Science. As we know, CS is a very vast subject and Cyael learns what she can, little by little, by reading the editorials of codechef.com, her favourite programming website.
Today, she came across a problem that was about calculating powers of two, and she got bored of it really fast, as she considers she knows all there is to know about powers of two. She knows how to compute even very big powers, like powers of 10, so it's obvious that for her, powers of two have no secrets :D
But her friend Lira, as she was tired of hearing her boasting about her skills for calculating powers, decided to challenge her with a brand new task: computing what she calls,  SuperPowers of 2 . 
 Cyael: ""Okay Lira, tell me about SuperPower of 2 so that I can solve one more problem and prepare for Codechef's November Long Challenge!! It's less than a month away!""
 Lira: ""I define the Nth Superpower of 2 as being the number (2N_bin)2 , where N_bin stands for the decimal number encoded by the representation in base 2 of the number N.
So, for example, the 2nd SuperPower of 2 is then equal to the number:
(210)2 = 1048576
 because,  N = 2 , and its binary encoding is 10 in decimal it is ten. So 210 = 1024 and 10242 = 1048576 
Since the answer can be large, you are asked to compute SuperPowers of 2 modulo 1000000007.""
After some time, Cyael finally solved the problem and decided to call Lira:
 Cyael: ""Well, I admit I struggled more than I'd have expected on this problem... You should consider becoming a problem setter and set this problem for Codechef... Do you want me to call Bruno and ask him to set this problem on your behalf? He always finds a way of writing a fun problem statement!!"" 
 Lira: ""Wooow!! That means Codechef community would solve my problem, modified by Bruno himself? Please do so, I'd love it!!!"" 
 And now, here I am (yes, Bruno :D ) setting Lira's problem to all of you, but, with some differences regarding Lira's initial version, which hopefully you will appreciate. 
Input
The first line of the input contains an integer T denoting the number of test cases.
Then on the following T lines, there is an integer N, denoting the index of the SuperPower of 2 you need to compute modulo 1000000007.
Output
For each test case, output a single line containing the required value: the Nth SuperPower of 2 modulo 1000000007.
Constraints

1 ≤ N ≤ 600000
T = 100000 on each official test-case file.
Note: Your code will be judged against several input files.

Example
Input:
100000
1
2
(and 99998 more test cases...)

Output:
4
1048576
(and 99998 more answers...)
  ",kuruma,,http://discuss.codechef.com/problems/SPOTWO,"['nov13', 'kuruma', 'easy']",            17-03-2013</td>        <,            1 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYTH, PYTH 3.4, RUBY, SCALA, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
765,SEAORD,Sereja and Order,/problems/SEAORD,hard,"
All submissions for this problem are available. Read problems statements in Mandarin Chinese  and Russian.
Sereja have N programs. Sereja should run every program on two computers. Program number i works A[i] seconds on first computer and B[i] seconds on second. On each computer Sereja isn't able to run two programs in parallel, also Sereja isn't able to run one program on two computers in one moment. Sereja need to run all programs on both computers in minimal time. Help Sereja in his problem.
Input
First line contain integer T number of test cases. T tests follow. First line of each test case contain integer N. Next N lines contain integers A[i], B[i].
 
Output
For each test case output optimal time in separated line. On the next N lines. In i-th line output pair of numbers X, Y X - start of working program number i on first computer, j - the same information for second computer.
 
Constraints

1 ≤ Sum of N over all the test cases ≤  200000 
1 ≤ N ≤  10000 
1 ≤ A[i], B[i] ≤  100000 

 
Subtasks
Subtask #1: 1 ≤ N ≤  10 , 1 ≤ T ≤  1000 (16 points)
Subtask #2: 1 ≤ N ≤  500 (21 points)
Subtask #3: 1 ≤ N ≤  10000 (63 points)
 
Example
Input:
2
1
1 1
3
2 2
1 1
1 1


Output:
2
0 1
4
2 0
0 2
1 3

.
 ",sereja,,http://discuss.codechef.com/problems/SEAORD,"['hard', 'nov14', 'sereja']",            10-09-2014</td>        <,            2 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYTH, PYTH 3.4, RUBY, SCALA, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
775,CHEFLKJ,Chef and Array,/problems/CHEFLKJ,medium,"
All submissions for this problem are available. Read problems statements in Mandarin Chinese, Russian and Vietnamese as well.
Chef likes arrays and anything related to it. He call an array V dominating if there exists a number x (the dominator) whose number of occurrences in V  strictly greater than half the size of the array (that is, floor(|V|/2)).

His friend Dmytro wants to make Chef happy, so he presented this interesting problem for Chef.
Given an array A. You have to process Q queries on it. Queries can be one of two types:

 1 x y  - Assign value y to x-th element in array A, i.e. Ax = y.
2 l r  - print ""Yes"" if subarray A[l..r] is dominating, ""No"" otherwise

Input
The first line of input contains two integers N and Q denoting the number of elements in A, and the number of queries to be executed.
The second line of input contains N space separated integers denoting the array A.
Each of the next Q lines contains one query.
Output
For each query of type 2, output the answer to the query in a single line.
Constraints

1 ≤ N, Q ≤ 105
1 ≤ Ai, y ≤ 109
1 ≤ x  ≤ N
1 ≤ l  ≤  r  ≤ N

Example
Input:
5 8
1 2 3 2 1
2 1 5
2 2 4
1 3 2
2 1 5
1 2 3
2 1 5
1 3 1
2 1 5

Output:
No
Yes
Yes
No
Yes
Explanation
For first query, we have to tell whether the entire array A is dominating or not. It turns out that it is not dominating, because occurrences of 1 and 2 are equal to 2 (which is not more than half the size of array, i.e. 2) and that of 3 is 1.
For second query, the subarray [2, 3, 2] is dominating and 2 is the dominator of it. Number of occurrences of 2 is 2 which is strictly greater than half the size of subarray, i.e. floor(3/2) = 1. ",mgch,karanaggarwal,http://discuss.codechef.com/problems/CHEFLKJ,"['cook72', 'segment-tree', 'medium', 'mgch']",            10-07-2016</td>        <,            2 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYPY, PYTH, PYTH 3.4, RUBY, SCALA, SCM chicken, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
814,CPERM,Count Permutations,/problems/CPERM,easy,"
All submissions for this problem are available. Read problems statements in Mandarin Chinese, Russian and Vietnamese as well.
Given N, count how many permutations of [1, 2, 3, ..., N] satisfy the following property.


Let P1, P2, ..., PN denote the permutation. The property we want to satisfy is that there exists an i between 2 and n-1 (inclusive) such that

Pj > Pj + 1  ∀    i ≤ j ≤ N - 1.
Pj > Pj - 1  ∀    2 ≤ j ≤ i.


Input
First line contains T, the number of test cases. Each test case consists of N in one line.
Output
For each test case, output the answer modulo 109+7.
Constraints

1 ≤ T ≤ 100
1 ≤ N ≤ 109

Subtasks

Subtask #1(40 points): 1 ≤ N ≤ 1000
Subtask #2(60 points): original constraints

Example
Input:
2
2
3

Output:
0
2


Explanation

Test case 1:
No permutation satisfies.
Test case 2:
Permutations [1, 3, 2] and [2, 3, 1] satisfy the property.
 ",darkshadows,xcwgf666,http://discuss.codechef.com/problems/CPERM,"['combinatorics', 'nov16', 'fast-expo', 'darkshadows', 'easy']",            18-04-2014</td>        <,            1 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYTH, PYTH 3.4, RUBY, SCALA, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
819,TACTQUER,Shortest path queries,/problems/TACTQUER,hard,"
All submissions for this problem are available. Read problems statements in Mandarin Chinese, Russian and Vietnamese as well.

With the impressive achievement in competitive programming Jem was offered an internship at IBER - a tech company that provides an alternative to tradditional taxi service.


Jem first task was help IBER quickly calculate the distance between two arbitrary locations in Jem's city. As an experienced competitive programmer Jem understand that this is not a trivial problem with general graph. Fortunately after investigate the city map Jem found out that the roads system is have a special form which may make Jem's problem easier to deal with.


There are N locations in the city and M bidirectional road connecting them. Each road i have the length of Ci and no two road connect the same pair of locations. The roads system is designed in a way that from a specific location one can travel to any other locations. The most important point is that there is no location belong to more than one cycle in the graph corresponding to road network.


So Jem already got his solution. If you want to secure an internship at IBER maybe you can try to solve this problem too!

Input



    The first line of the input contains two number N and M


    In the next M line each line contains three numbers u, v and c represent a road of length c connects location u and v.
  

    Next line contains a single number Q represents the number of queries.
  

    In the next Q lines each line contains two numbers u and v corresponding to a query of the length of the shortest path between location u and v.
  


Output

For each query print out the corresponding result in one line.

Constraint



      2 ≤ N ≤ 105


      1 ≤ M ≤ 2 × 105


      1 ≤ Q ≤ 105


      1 ≤ c ≤ 104




Example

Input 1:
4 3
1 2 2
2 3 3
2 4 4
2
1 4
4 3

Output 1:
6
7

Input 2:
7 8
1 2 2
1 3 4
2 3 1
3 4 1
4 5 1
4 7 1
5 6 2
6 7 1
3
1 4
5 7
1 6


Output 2:
4
2
6

Explaination

Test 2: the graph is shown in the picture below.





The shortest path for each query are:


 From 1 to 4: 1 -> 2 -> 3 -> 4


  From 5 to 7: 5 -> 4 -> 7


From 1 to 6: 1 -> 2 -> 3 -> 4 -> 7 -> 6


 ",tuananh93,errichto,http://discuss.codechef.com/problems/TACTQUER,"['tuananh93', 'graph', 'dp', 'hard', 'cook74']",            9-09-2016</td>        <,            1 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYPY, PYTH, PYTH 3.4, RUBY, SCALA, SCM chicken, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
843,QMAXTRIX,Query over Matrix,/problems/QMAXTRIX,easy,"
All submissions for this problem are available. Read problems statements in Mandarin Chinese , Russian and Vietnamese  as well.
 Read problems statements in Mandarin Chinese , Russian and  Vietnamese

There is a N*N square matrix. You have been given N specifications, one per row of the matrix. The ith specifications is represented by a pair of integers L[i] and R[i], denoting that all element belonging to columns between L[i] and R[i] (both inclusive) in row i are 1, while the rest of the elements of the ith row are 0.


Now you will be given an integer Q, followed by Q operations: Each query is described by two integers x and y, which asks what will be the parity of the sum of the matrix if the xth row and the yth column are removed from the matrix. 

Input



First line of the input contains an integer N, followed by N lines: each containing a pair of integers. ith pair of integers denotes the value of L[i] and R[i].


The next line contains the value of Q, and the following Q lines contain the queries. 



Output

Q lines, each containing a single character ""E"" or ""O"" (no quotes needed), indicating whether the sum is even or odd.

Constraints

Subtask #1: 20 points

1 ≤ N,Q ≤ 1000, 1 ≤ L[i] ≤ R[i] ≤ N,1 ≤ x,y ≤ N  



Subtask #2: 80 points

1 ≤ N,Q ≤ 105, 1 ≤ L[i] ≤ R[i] ≤ N, 1 ≤ x,y ≤ N  


Example
Input:
3
1 3
2 2
1 3
2
2 2
3 2

Output:
E
E

Explanation
The given array is:
1 1 1
0 1 0
1 1 1
It's easy to see that the sum is even in both the queries.
 ",amitpandeykgp,pushkarmishra,http://discuss.codechef.com/problems/QMAXTRIX,"['amitpandeykgp', 'ltime30', 'implementation', 'precomputation']",            3-11-2015</td>        <,            1 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYPY, PYTH, PYTH 3.4, RUBY, SCALA, SCM chicken, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
882,TPRODUCT,Tree Product,/problems/TPRODUCT,easy,"
All submissions for this problem are available.
Given a complete binary tree with the height of H, we index the nodes respectively top-down and left-right from 1. The i-th node stores a positive integer Vi. Define Pi as follows: Pi=Vi if the i-th node is a leaf, otherwise Pi=max(Vi*PL, Vi*PR), where L and R are the indices of the left and right children of i, respectively. Your task is to caculate the value of P1.

Input
There are several test cases (fifteen at most), each formed as follows:

The first line contains a positive integer H (H ≤ 15).
The second line contains 2H-1 positive integers (each having a value of 109 at most), the i-th integer shows the value of Vi.

The input is ended with H = 0.

Output
For each test case, output on a line an integer which is the respective value of P1 found, by modulo of 1,000,000,007.

Example

Input:
2
1 2 3
3
3 1 5 2 6 4 7
0

Output:
3
105


Explanation:
The second test case is constructed as follows:

     3
    / \
   /   \
  1     5
 / \   / \
2   6 4   7
 ",anhdq,pieguy,http://discuss.codechef.com/problems/TPRODUCT,"['may11', 'easy', 'anhdq']",            21-02-2011</td>        <,            2 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYTH, PYTH 3.4, RUBY, SCALA, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
901,A5,Packing the Boxes,/problems/A5,hard,"
All submissions for this problem are available.
This problem was part of the CodeChef April Challenge.  All user submissions for this contest problem are publicly available here.
Shaheen has bought some gifts for a friend, which are wrapped up in several boxes of different sizes (all of which are full). She will need to carry the gifts a long way to her friend's house, so she would prefer to add some extra packing, and accommodate everything in one extra box. Moreover, to avoid damaging the contents, she does not wish to place more than two boxes directly within any box; however, boxes can be placed within boxes which contain other boxes, etc. A box which is used for holding two boxes of sizes a and b will have size a+b, and will cost Shaheen a+b coins at the local store. Please help Shaheen determine the minimum cost required to achieve the complete packing, and the number of different possible packings (arrangements of boxes within each other) having such a minimal cost.
Input
The first line of input is n <=2000, the number of boxes with Shaheen's gifts. The next n lines of input contain one positive integer each, not greater than 106, representing the sizes of the successive boxes.

Output

Print to output exactly 2 numbers separated by spaces: the cost of the optimal solution, and the number of distinct ways of achieving this solution (modulo 109).

Example

Input:
5
3
2
3
5
1

Output:
31 3


Explanation:
The three solutions leading to cost 31 are as follows:",admin,,,['admin'],            1-12-2008</td>        <,            2 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PHP, PIKE, PRLG, PYPY, PYTH, PYTH 3.4, RUBY, SCALA, SCM chicken, SCM guile, SCM qobi, ST, TEXT, WSPC</td>        <"
1036,CHEFQUE,Chef and Queries,/problems/CHEFQUE,easy,"
All submissions for this problem are available. Read problems statements in Mandarin Chinese, Russian and Vietnamese as well.

As part of his daily job, Chef has to solve problems involving sets. Till now, Chef has been using inefficient methods to solve his set related problem, wasting a lot of his precious time. He has agreed to pay you a lot of money for solving the following problem for him efficiently.


First, Chef needs to perform Q operations on a set. Each operation is either:

1. Add a number to the set (if this number is NOT already present in the set).
2. Erase a number from the set (if this number exists in the set).


Then, he needs to find the sum of all elements of the set after performing these Q queries. Your job is to find this sum for him quickly.

Input
The first line of input contains four integers — Q, S1, A, B. S1 is the first number in the operations. A and B are special constants explained later.

Every operation Si is represented by a single integer. If Si is odd, then it represents the first operation, otherwise the second type, and in both of them the integer you have to add/delete equals [Si / 2], where [] is the greatest integer (or floor) function.

Si = (A*Si-1 + B) mod 232 when i > 1.


Note: In this problem, the time limit is very tight. Using built-in data structures, such as set/unordered_set in C++ or TreeSet/HashSet in Java, may lead to a Time Limit Exceed verdict.

Output
Output a single line containing a single integer — sum of elements in the set after Q queries.

Constraints

1 ≤ Q ≤ 107
1 ≤ S1, A, B ≤ 109

Example

Input:
5 1 1 1

Output:
3


Input:
10000000 777777777 777777777 777777777

Output:
5362358669068782

Explanation:

The sequence {Si} is 1, 2, 3, 4, 5:

Operation 1, 1 mod 2 = 1, add number [1 / 2] = 0 to set, sum is 0.


Operation 2, 2 mod 2 = 0, erase number [2 / 2] = 1 from set, 1 is not in set, so nothing happens, sum is 0.


Operation 3, 3 mod 2 = 1, add number [3 / 2] = 1 to set, sum is 1.


Operation 4, 4 mod 2 = 0, erase number [4 / 2] = 2 from set, 2 is not in set, so nothing happens, sum is 1.


Operation 5, 5 mod 2 = 1, add number [5 / 2] = 2 to set, sum is 3.
 ",mgch,,http://discuss.codechef.com/problems/CHEFQUE,"['bitset', 'cook65', 'easy-medium', 'mgch', 'hashing']",            9-12-2015</td>        <,            2 sec</td>        <,            50000 Bytes</td>        <,"            <td>C, CPP14, JAVA, PYTH, PYTH 3.4</td>        <"
